"","Player","Teams","Maps","Rounds","K.D.Diff","K.D","Rating2.0"
"297","kressy",NA,199,5362,-66,0.98,1.01
"298","Zero",NA,291,7887,-125,0.98,1.01
"299","iDk",NA,148,3918,-114,0.96,1
"300","kwezz",NA,243,6513,-9,1,1
"301","brett",NA,182,4751,-344,0.9,1
"302","stYleEeZ",NA,160,4319,-54,0.98,1
"303","shox",NA,158,4153,-24,0.99,1
"304","dezon",NA,275,7390,-89,0.98,1
"305","Shakezullah",NA,260,6678,-103,0.98,1
"306","doto",NA,186,4876,-138,0.96,1
"307","KHTEX",NA,155,4110,15,1.01,1
"308","Ex3rcice",NA,229,6114,-17,1,1
"309","n0tice",NA,187,4971,-202,0.94,1
"310","Spiidi",NA,302,8174,-280,0.95,1
"311","Duplicate",NA,404,10906,-560,0.92,1
"312","ice",NA,320,8611,-307,0.95,1
"313","S3NSEY",NA,147,3958,-6,1,1
"314","nexa",NA,183,4949,-7,1,1
"315","birdfromsky",NA,414,11099,-1000,0.87,1
"316","jnt",NA,147,3889,-67,0.97,1
"317","SATURN",NA,182,4714,-211,0.94,1
"318","JazzPimp",NA,164,4363,-231,0.93,0.99
"319","pesadelo",NA,203,5223,-203,0.94,0.99
"320","SZPERO",NA,317,8714,-266,0.95,0.99
"321","realziN",NA,147,3889,-289,0.89,0.99
"322","reatz",NA,199,5411,-76,0.98,0.99
"323","Cabbi",NA,154,4074,-215,0.93,0.99
"324","RZU",NA,151,4004,-182,0.94,0.99
"325","LNZ",NA,264,6954,-109,0.98,0.99
"326","grape",NA,195,5106,-224,0.94,0.99
"327","disco doplan",NA,154,4146,-126,0.95,0.99
"328","ZEDKO",NA,323,8655,-345,0.94,0.99
"329","bnox",NA,171,4634,-186,0.94,0.99
"330","Snappi",NA,200,5255,-385,0.89,0.99
"331","manguss",NA,194,5173,-105,0.97,0.99
"332","amster",NA,209,5709,-172,0.95,0.98
"333","ponczek",NA,160,4449,-81,0.97,0.98
"334","Plopski",NA,193,5106,-226,0.93,0.98
"335","b0RUP",NA,175,4722,-135,0.96,0.98
"336","w1nt3r",NA,323,8691,-229,0.96,0.98
"337","ben1337",NA,298,7828,-488,0.91,0.98
"338","Maluk3",NA,203,5223,-197,0.94,0.98
"339","neaLaN",NA,306,8163,-357,0.93,0.98
"340","Ruyter",NA,171,4703,-397,0.88,0.98
"341","dan1",NA,150,4068,-137,0.95,0.98
"342","PR1mE",NA,241,6471,-216,0.95,0.98
"343","chopper",NA,181,4688,-254,0.92,0.97
"344","interz",NA,232,6080,-127,0.96,0.97
"345","SENER1",NA,257,6851,-450,0.9,0.97
"346","RIZZZ",NA,158,4219,-256,0.91,0.97
"347","akez",NA,170,4676,-264,0.92,0.97
"348","mikki",NA,171,4703,-130,0.96,0.97
"349","MINISE",NA,189,5178,-240,0.93,0.97
"350","k1to",NA,240,6434,-385,0.92,0.97
"351","beastik",NA,326,8736,-678,0.89,0.97
"352","kiR",NA,243,6513,-463,0.9,0.97
"353","ngiN",NA,180,4809,-215,0.93,0.97
"354","ztr",NA,239,6405,-410,0.91,0.96
